breed,url,Images,Adaptability,ApartmentSuitability,InexperiencedOwner,ToleranceAlone,Friendliness,Shedding,Health,Size,TrainAbility,Noisy,ExerciseNeeds,breed_group,AgeAverage
Chinese Shar-Pei,https://dogtime.com/dog-breeds/chinese-shar-pei,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-597227541-e1695135121879.jpg?w=1024,3,4,2,4,2,5,1,3,3,5,2,Working Dogs,3
Chinook,https://dogtime.com/dog-breeds/chinook,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1484936277-e1690933859165.jpg?w=1024,3,4,1,1,5,5,4,4,3,2,3,Working Dogs,4
Chion,https://dogtime.com/dog-breeds/chion,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chion-mixed-dog-breed-pictures-cover.jpg,3,4,3,2,3,2,4,2,3,4,3,Mixed Breed Dogs,4
Chipin,https://dogtime.com/dog-breeds/chipin,https://dogtime.com/wp-content/uploads/sites/12/2019/07/chipin-mixed-dog-breed-pictures-cover.jpg,3,5,4,1,3,2,3,1,3,2,4,Mixed Breed Dogs,4
Chiweenie,https://dogtime.com/dog-breeds/chiweenie,https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-1500430783-e1692662779466.jpg?w=1024,3,5,3,2,3,1,3,1,3,5,4,Mixed Breed Dogs,4
Chorkie,https://dogtime.com/dog-breeds/chorkie,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chorkie-mixed-dog-breed-pictures-cover.jpg,3,5,5,1,3,2,3,1,3,4,4,Mixed Breed Dogs,4
Chow Chow,https://dogtime.com/dog-breeds/chow-chow,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-91735840-e1691246757938.jpg?w=1024,3,3,2,5,1,1,2,4,2,1,2,Working Dogs,4
Chow Shepherd,https://dogtime.com/dog-breeds/chow-shepherd,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chow-shepherd-mixed-dog-breed-pictures-cover.jpg,3,3,2,2,3,5,3,4,3,2,5,Mixed Breed Dogs,4
Chug,https://dogtime.com/dog-breeds/chug,https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-490935941-e1695663470138.jpg?w=1024,3,5,3,3,4,4,4,1,3,2,4,Mixed Breed Dogs,3
Chusky,https://dogtime.com/dog-breeds/chusky,https://dogtime.com/wp-content/uploads/sites/12/2019/08/chusky-mixed-dog-breed-pictures-cover.jpg,3,2,2,3,4,5,3,3,3,4,4,Mixed Breed Dogs,3
Cirneco dell�Etna,https://dogtime.com/dog-breeds/cirneco-delletna,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-873593792-e1694477734169.jpg?w=1024,3,4,3,3,4,2,5,3,3,3,3,Companion Dogs,4
Clumber Spaniel,https://dogtime.com/dog-breeds/clumber-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-96823791-e1698679241418.jpg,4,5,5,2,4,5,2,3,4,1,3,Sporting Dogs,4
Cockalier,https://dogtime.com/dog-breeds/cockalier,https://dogtime.com/wp-content/uploads/sites/12/2019/10/cockalier-mixed-dog-breed-picture-cover.jpg,3,4,4,2,4,2,4,2,3,2,4,Mixed Breed Dogs,4
Cockapoo,https://dogtime.com/dog-breeds/cockapoo,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1207034679-1.jpg?w=1024,4,4,5,3,5,1,2,2,3,2,4,Hybrid Dogs,4
Cocker Spaniel,https://dogtime.com/dog-breeds/cocker-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-168362733-e1691522067206.jpg?w=1024,4,5,3,1,4,3,4,2,4,3,3,Sporting Dogs,4
Collie,https://dogtime.com/dog-breeds/collie,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-865592368-e1692904739165.jpg?w=1024,4,3,4,2,5,5,3,3,3,4,3,Herding Dogs,4
Corgi Inu,https://dogtime.com/dog-breeds/corgi-inu,https://dogtime.com/wp-content/uploads/sites/12/2019/08/corgi-inu-mixed-dog-breed-pictures-cover.jpg,3,4,3,3,3,5,3,2,3,3,4,Mixed Breed Dogs,4
Corgidor,https://dogtime.com/dog-breeds/corgidor,https://dogtime.com/wp-content/uploads/sites/12/2019/07/corgidor-mixed-dog-breed-pictures-cover.jpg,3,3,2,3,4,5,4,3,3,2,4,Mixed Breed Dogs,4
Corman Shepherd,https://dogtime.com/dog-breeds/corman-shepherd,https://dogtime.com/wp-content/uploads/sites/12/2019/11/GettyImages-1179001853-e1709836185255.jpg?w=1024,3,2,2,3,4,5,3,3,3,3,4,Mixed Breed Dogs,4
Coton de Tulear,https://dogtime.com/dog-breeds/coton-de-tulear,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-490473024-e1699994891842.jpg,4,5,4,1,5,1,5,1,3,2,3,Companion Dogs,5
Curly-Coated Retriever,https://dogtime.com/dog-breeds/curly-coated-retriever,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1204876364-e1698426594947.jpg?w=1024,3,1,3,3,4,3,2,3,4,3,4,Sporting Dogs,3
Dachsador,https://dogtime.com/dog-breeds/dachsador,https://dogtime.com/wp-content/uploads/sites/12/2019/09/dachsador-mixed-dog-breed-pictures-cover.jpg,3,4,2,2,4,2,4,2,3,2,4,Mixed Breed Dogs,4
Dachshund,https://dogtime.com/dog-breeds/dachshund,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-700141990-e1688418771301.jpg,3,5,4,3,3,3,2,1,4,5,3,Hound Dogs,4
Dalmatian,https://dogtime.com/dog-breeds/dalmatian,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-177292392-e1692667966241.jpg?w=1024,3,2,3,3,4,5,4,3,3,2,5,Companion Dogs,4
Dandie Dinmont Terrier,https://dogtime.com/dog-breeds/dandie-dinmont-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-182665308-e1699630765162.jpg?w=1024,3,4,4,2,4,3,3,1,3,2,3,Terrier Dogs,4
Daniff,https://dogtime.com/dog-breeds/daniff,https://dogtime.com/wp-content/uploads/sites/12/2019/11/daniff-mixed-dog-breed-pictures-cover.jpg,3,2,2,1,4,2,3,5,3,1,4,Mixed Breed Dogs,3
Deutscher Wachtelhund,https://dogtime.com/dog-breeds/deutscher-wachtelhund,https://dogtime.com/wp-content/uploads/sites/12/2019/10/GettyImages-180794233-e1708197323228.jpg,3,3,3,2,4,3,5,4,3,3,4,Sporting Dogs,4
Doberdor,https://dogtime.com/dog-breeds/doberdor,https://dogtime.com/wp-content/uploads/sites/12/2019/08/doberdor-mixed-breed-dog-pictures-cover.jpg,2,1,1,2,3,1,4,5,3,4,5,Mixed Breed Dogs,4
Doberman Pinscher,https://dogtime.com/dog-breeds/doberman-pinscher,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-474330006-e1691273994614.jpg?w=1024,3,3,3,2,3,4,1,4,3,1,4,Working Dogs,3
Docker,https://dogtime.com/dog-breeds/docker,https://dogtime.com/wp-content/uploads/sites/12/2019/07/docker-mixed-dog-breed-pictures-cover.jpg,3,3,2,2,3,3,3,2,4,4,3,Mixed Breed Dogs,4
Dogo Argentino,https://dogtime.com/dog-breeds/dogo-argentino,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1189927950-e1695058009178.jpg?w=1024,2,1,1,2,3,1,3,4,3,2,4,Sporting Dogs,4
Dogue de Bordeaux,https://dogtime.com/dog-breeds/dogue-de-bordeaux,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-870835468-e1688165931787.jpg?w=1024,3,5,1,2,3,3,2,4,3,2,3,Working Dogs,3
Dorgi,https://dogtime.com/dog-breeds/dorgi,https://dogtime.com/wp-content/uploads/sites/12/2019/08/dorgi-mixed-dog-breed-pictures-cover.jpg,3,4,4,1,4,2,4,2,3,3,4,Mixed Breed Dogs,4
Dorkie,https://dogtime.com/dog-breeds/dorkie,https://dogtime.com/wp-content/uploads/sites/12/2020/01/5818864337_54aff6a807_k-e1711057877276.jpg,3,5,4,2,4,3,2,1,3,2,2,Mixed Breed Dogs,4
Doxiepoo,https://dogtime.com/dog-breeds/doxiepoo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/doxiepoo-mixed-dog-breed-pictures-cover.jpg,3,5,3,2,3,3,4,2,4,5,4,Mixed Breed Dogs,4
Doxle,https://dogtime.com/dog-breeds/doxle,https://dogtime.com/wp-content/uploads/sites/12/2024/02/GettyImages-1296253583-e1708025763898.jpg?w=1024,3,2,4,1,5,5,4,3,4,5,5,Mixed Breed Dogs,4
Drentsche Patrijshond,https://dogtime.com/dog-breeds/drentsche-patrijshond,https://dogtime.com/wp-content/uploads/sites/12/2024/03/GettyImages-488979219-e1710430789588.jpg?w=1024,3,3,2,3,4,4,4,3,3,2,4,Working Dogs,4
Drever,https://dogtime.com/dog-breeds/drever,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1161618692-e1695350939289.jpg?w=1024,3,4,3,2,4,3,5,3,3,4,4,Hound Dogs,4
Dutch Shepherd,https://dogtime.com/dog-breeds/dutch-shepherd,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1200407537-1-e1697827592829.jpg?w=1024,3,3,3,2,4,4,4,3,3,2,4,Herding Dogs,4
English Cocker Spaniel,https://dogtime.com/dog-breeds/english-cocker-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-672429448-1-e1691168259563.jpg?w=1024,4,5,4,1,5,3,4,2,4,4,4,Sporting Dogs,4
English Foxhound,https://dogtime.com/dog-breeds/english-foxhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-175419423-e1693750736808.jpg,3,1,2,4,4,3,4,3,4,4,5,Hound Dogs,3
English Setter,https://dogtime.com/dog-breeds/english-setter,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1186378289-e1691459172268.jpg?w=1024,3,1,3,1,5,3,3,3,4,4,4,Sporting Dogs,4
English Springer Spaniel,https://dogtime.com/dog-breeds/english-springer-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1187748676-e1693582587759.jpg,3,1,3,1,5,3,3,3,4,3,5,Sporting Dogs,4
English Toy Spaniel,https://dogtime.com/dog-breeds/english-toy-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_23106_english-toy-spaniel.jpg,3,4,4,1,4,5,2,2,3,3,3,Companion Dogs,3
Entlebucher Mountain Dog,https://dogtime.com/dog-breeds/entlebucher-mountain-dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1446374246-e1695303266393.jpg?w=1024,3,1,2,3,4,3,3,3,4,5,5,Herding Dogs,3
Estrela Mountain Dog,https://dogtime.com/dog-breeds/estrela-mountain-dog,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1256997194-e1691757468416.jpg?w=1024,3,1,3,3,4,4,4,4,3,3,3,Herding Dogs,4
Eurasier,https://dogtime.com/dog-breeds/eurasier,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-506910133-e1691284962938.jpg?w=1024,3,4,3,1,4,4,4,4,2,2,3,Companion Dogs,4
Field Spaniel,https://dogtime.com/dog-breeds/field-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-993615914-1-e1691887233572.jpg?w=1024,3,1,3,1,5,3,3,2,4,2,5,Sporting Dogs,3
Finnish Lapphund,https://dogtime.com/dog-breeds/finnish-lapphund,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1064585256-e1693319513940.jpg,4,4,4,2,5,3,4,3,4,3,5,Herding Dogs,4
Finnish Spitz,https://dogtime.com/dog-breeds/finnish-spitz,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-490054960-1-e1691172054332.jpg?w=1024,3,3,3,1,5,4,4,3,4,5,5,Sporting Dogs,4
Flat-Coated Retriever,https://dogtime.com/dog-breeds/flat-coated-retriever,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1437669412-e1698601773598.jpg?w=1024,3,1,2,1,5,3,4,3,4,4,5,Sporting Dogs,3
Fox Terrier,https://dogtime.com/dog-breeds/fox-terrier,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-828399432-e1705075052179.jpg?w=1024,3,3,3,3,4,2,4,2,4,3,5,Terrier Dogs,4
French Bulldog,https://dogtime.com/dog-breeds/french-bulldog,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-821730372-e1705934561973.jpg?w=1024,3,5,5,1,4,3,2,2,3,3,4,Companion Dogs,4
French Spaniel,https://dogtime.com/dog-breeds/french-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1186335905-e1696010191914.jpg?w=1024,3,2,4,3,4,3,4,3,3,2,4,Sporting Dogs,3
Frenchton,https://dogtime.com/dog-breeds/frenchton,https://dogtime.com/wp-content/uploads/sites/12/2020/01/frenchton-mixed-dog-breed-pictures-cover.jpg,4,5,5,2,5,4,4,2,3,3,4,Mixed Breed Dogs,4
Frengle,https://dogtime.com/dog-breeds/frengle,https://dogtime.com/wp-content/uploads/sites/12/2020/02/frengle-mixed-dog-breed-pictures-cover.jpg,3,4,4,3,5,3,4,3,3,2,4,Mixed Breed Dogs,4
German Pinscher,https://dogtime.com/dog-breeds/german-pinscher,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1241525012-1-e1696424722713.jpg?w=1024,3,3,3,3,3,3,4,3,4,3,5,Working Dogs,4
German Shepherd Dog,https://dogtime.com/dog-breeds/german-shepherd-dog,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-529202089-e1701095552546.jpg?w=1024,3,3,2,2,4,5,4,4,4,4,5,Herding Dogs,4
German Shepherd Pit Bull,https://dogtime.com/dog-breeds/german-shepherd-pit-bull,https://dogtime.com/wp-content/uploads/sites/12/2020/02/german-shepherd-pit-bull-mixed-dog-breed-pictures-COVER.jpg,2,1,1,1,5,5,4,4,4,4,5,Mixed Breed Dogs,3
German Sheprador,https://dogtime.com/dog-breeds/german-sheprador,https://dogtime.com/wp-content/uploads/sites/12/2019/09/german-sheprador-mixed-dog-breed-pictures-cover.jpg,3,2,1,2,5,5,3,4,4,2,5,Mixed Breed Dogs,3
German Shorthaired Pointer,https://dogtime.com/dog-breeds/german-shorthaired-pointer,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1287712832-e1692459746136.jpg?w=1024,2,1,2,1,4,2,3,3,5,3,5,Sporting Dogs,4
German Spitz,https://dogtime.com/dog-breeds/german-spitz,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1145716084-e1695412569891.jpg?w=1024,3,4,2,3,4,4,4,1,4,4,4,Companion Dogs,4
German Wirehaired Pointer,https://dogtime.com/dog-breeds/german-wirehaired-pointer,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1370794115-e1693316668360.jpg?w=1024,3,2,3,2,3,2,4,4,4,3,5,Sporting Dogs,4
Giant Schnauzer,https://dogtime.com/dog-breeds/giant-schnauzer,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-153483247.jpg,2,1,1,2,3,4,4,4,4,4,4,Working Dogs,3
Glen of Imaal Terrier,https://dogtime.com/dog-breeds/glen-of-imaal-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-154451984-e1693662214622.jpg?w=1024,3,4,2,3,4,1,5,1,4,4,4,Terrier Dogs,4
Goberian,https://dogtime.com/dog-breeds/goberian,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1321083270-e1696256621612.jpg?w=1024,3,1,2,2,4,2,4,4,3,2,5,Mixed Breed Dogs,4
Goldador,https://dogtime.com/dog-breeds/goldador,https://dogtime.com/wp-content/uploads/sites/12/2024/03/GettyImages-1360847842-e1709654744507.jpg?w=1024,4,2,4,4,5,3,4,4,3,1,5,Hybrid Dogs,4
Golden Cocker Retriever,https://dogtime.com/dog-breeds/golden-cocker-retriever,https://dogtime.com/wp-content/uploads/sites/12/2019/10/golden-cocker-retriever-mixed-dog-breed-pictures-cover-1.jpg,3,1,4,1,4,4,4,3,3,3,4,Mixed Breed Dogs,4
Golden Mountain Dog,https://dogtime.com/dog-breeds/golden-mountain-dog,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1000435950-e1705593968178.jpg?w=1024,2,1,2,2,4,4,3,5,3,3,4,Mixed Breed Dogs,4
Golden Retriever,https://dogtime.com/dog-breeds/golden-retriever,https://dogtime.com/wp-content/uploads/sites/12/2024/03/GettyImages-1285465107-e1710251441662.jpg?w=1024,3,2,3,1,5,5,2,3,4,3,4,Sporting Dogs,3
Golden Retriever Corgi,https://dogtime.com/dog-breeds/golden-retriever-corgi,https://dogtime.com/wp-content/uploads/sites/12/2020/01/golden-retriever-corgi-mixed-dog-breed-pictures-cover.jpg,3,3,4,3,5,4,3,3,3,3,4,Mixed Breed Dogs,3
Golden Shepherd,https://dogtime.com/dog-breeds/golden-shepherd,https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-18-at-1.14.53-PM.png,3,2,2,1,5,5,3,5,4,3,5,Mixed Breed Dogs,4
Goldendoodle,https://dogtime.com/dog-breeds/goldendoodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-142805141-e1689614063230.jpg?w=1024,3,1,4,3,5,2,3,4,3,3,4,Hybrid Dogs,4
Gollie,https://dogtime.com/dog-breeds/gollie,https://dogtime.com/wp-content/uploads/sites/12/2019/09/gollie-mixed-dog-breed-pictures-1-1.jpg,3,1,4,2,5,4,3,3,3,2,4,Mixed Breed Dogs,4
Gordon Setter,https://dogtime.com/dog-breeds/gordon-setter,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1297799155-e1694182101120.jpg?w=1024,3,2,3,1,3,5,4,3,4,5,4,Sporting Dogs,3
Great Dane,https://dogtime.com/dog-breeds/great-dane,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1372212075-e1705674944967.jpg?w=1024,2,1,1,1,5,5,4,5,3,4,5,Working Dogs,2
Great Pyrenees,https://dogtime.com/dog-breeds/great-pyrenees,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1392624178-e1699369134229.jpg?w=1024,3,1,1,3,4,5,2,5,4,5,5,Working Dogs,3
Greater Swiss Mountain Dog,https://dogtime.com/dog-breeds/greater-swiss-mountain-dog,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-481853236-e1696252573739.jpg?w=1024,3,1,2,3,5,3,2,5,3,4,4,Working Dogs,2
Greyador,https://dogtime.com/dog-breeds/greyador,https://dogtime.com/wp-content/uploads/sites/12/2020/02/greyador-mixed-dog-breed-pictures-COVER.jpg,3,3,2,1,5,5,4,4,4,4,4,Mixed Breed Dogs,4
Greyhound,https://dogtime.com/dog-breeds/greyhound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1307444886-e1689603365467.jpg?w=1024,3,4,2,1,5,4,4,4,4,2,4,Hound Dogs,4
Hamiltonstovare,https://dogtime.com/dog-breeds/hamiltonstovare,https://dogtime.com/wp-content/uploads/sites/12/2019/12/Hamiltonstovare-dog-breed-pictures-cover.jpg,3,3,2,3,4,1,4,3,3,3,4,Hound Dogs,5
Hanoverian Scenthound,https://dogtime.com/dog-breeds/hanoverian-scenthound,https://dogtime.com/wp-content/uploads/sites/12/2019/11/Hanoverian-Scenthound-dog-breed-pictures-cover.jpg,3,2,1,3,4,2,4,4,3,3,4,Working Dogs,4
Harrier,https://dogtime.com/dog-breeds/harrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-478594617-e1708826665721.jpg?w=1024,3,1,3,3,5,3,5,3,4,4,5,Hound Dogs,3
Havanese,https://dogtime.com/dog-breeds/havanese,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1188952756-e1693150813872.jpg?w=1024,4,5,5,1,5,2,3,2,3,2,3,Companion Dogs,4
Hokkaido,https://dogtime.com/dog-breeds/hokkaido,https://dogtime.com/wp-content/uploads/sites/12/2023/10/Screen-Shot-2023-10-06-at-10.25.31-AM-1-e1696602900421.png,3,3,2,3,4,4,5,3,3,3,3,Working Dogs,4
Horgi,https://dogtime.com/dog-breeds/horgi,https://dogtime.com/wp-content/uploads/sites/12/2019/08/horgi-mixed-dog-breed-pictures-cover.jpg,3,2,2,2,5,4,3,2,4,3,4,Mixed Breed Dogs,4
Huskita,https://dogtime.com/dog-breeds/huskita,https://dogtime.com/wp-content/uploads/sites/12/2019/12/Huskita-Collage-e1710445440763.jpg,3,2,1,1,3,4,4,4,4,5,5,Mixed Breed Dogs,3
Huskydoodle,https://dogtime.com/dog-breeds/huskydoodle,"https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-980012224.jpg?resize=2048,1357",3,2,2,2,4,3,4,3,3,2,5,Mixed Breed Dogs,4
Ibizan Hound,https://dogtime.com/dog-breeds/ibizan-hound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-524728700-e1694569218246.jpg?w=1024,3,5,3,2,5,3,4,3,4,2,5,Hound Dogs,4
Icelandic Sheepdog,https://dogtime.com/dog-breeds/icelandic-sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1249910553-2.jpg,3,1,1,2,3,5,3,3,3,1,4,Herding Dogs,4
Irish Red and White Setter,https://dogtime.com/dog-breeds/irish-red-and-white-setter,https://dogtime.com/wp-content/uploads/sites/12/2023/07/Screen-Shot-2023-07-11-at-10.56.38-AM-e1692452682474.png,3,1,3,1,4,3,2,3,4,3,5,Sporting Dogs,4
Irish Setter,https://dogtime.com/dog-breeds/irish-setter,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-986376406-e1692813099422.jpg?w=1024,3,1,3,2,5,4,2,4,5,4,5,Sporting Dogs,4
Irish Terrier,https://dogtime.com/dog-breeds/irish-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1075596616-e1694717947452.jpg?w=1024,3,3,2,2,4,4,5,3,3,4,5,Terrier Dogs,4
Irish Water Spaniel,https://dogtime.com/dog-breeds/irish-water-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/14770260620_a14323c80b_h-e1696226376292.jpg,3,3,2,3,5,1,2,3,4,4,4,Sporting Dogs,3
Irish Wolfhound,https://dogtime.com/dog-breeds/irish-wolfhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-802294198-e1694543128527.jpg?w=1024,2,1,2,2,5,3,1,5,3,1,3,Hound Dogs,1
Italian Greyhound,https://dogtime.com/dog-breeds/italian-greyhound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1173875200-e1692375001305.jpg?w=1024,3,5,5,1,5,2,3,2,4,3,4,Companion Dogs,4
Jack-A-Poo,https://dogtime.com/dog-breeds/jack-a-poo,https://dogtime.com/wp-content/uploads/sites/12/2020/02/jack-a-poo-mixed-dog-breed-pictures-cover.jpg,4,4,4,2,5,2,3,2,4,3,5,Mixed Breed Dogs,4
Jack Chi,https://dogtime.com/dog-breeds/jack-chi,https://dogtime.com/wp-content/uploads/sites/12/2019/07/jack-chi-mixed-dog-breed-pictures-cover.jpg,3,4,2,3,4,2,4,2,3,2,4,Mixed Breed Dogs,5
Jack Russell Terrier,https://dogtime.com/dog-breeds/jack-russell-terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1165035381-e1691077727532.jpg?w=1024,3,3,2,3,5,3,4,2,4,4,5,Terrier Dogs,4
Japanese Chin,https://dogtime.com/dog-breeds/japanese-chin,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-987920506-e1700238374981.jpg?w=1024,3,5,4,1,3,3,3,1,3,3,2,Companion Dogs,4
Japanese Spitz,https://dogtime.com/dog-breeds/japanese-spitz,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1489388446-e1698507707274.jpg?w=1024,3,4,4,2,4,3,3,2,3,4,3,Companion Dogs,4
Korean Jindo Dog,https://dogtime.com/dog-breeds/jindo,https://dogtime.com/wp-content/uploads/sites/12/2018/10/GettyImages-154265953-e1695054866660.jpg?w=1024,3,3,2,2,4,5,4,3,3,5,4,Sporting Dogs,4
Karelian Bear Dog,https://dogtime.com/dog-breeds/karelian-bear-dog,https://dogtime.com/wp-content/uploads/sites/12/2023/08/Screen-Shot-2023-08-19-at-10.09.56-AM-e1692454226742.png,3,2,1,2,3,3,4,3,4,4,4,Working Dogs,3
Keeshond,https://dogtime.com/dog-breeds/keeshond,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-954286436-e1695823345532.jpg?w=1024,4,4,4,1,5,5,3,3,3,4,4,Companion Dogs,4
Kerry Blue Terrier,https://dogtime.com/dog-breeds/kerry-blue-terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1297190480-e1709252365876.jpg?w=1024,3,3,2,3,4,1,3,3,4,4,4,Terrier Dogs,4
Komondor,https://dogtime.com/dog-breeds/komondor,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1250679406-e1692462057758.jpg,3,2,1,1,3,3,2,4,4,5,3,Working Dogs,3
Kooikerhondje,https://dogtime.com/dog-breeds/kooikerhondje,https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-26-at-2.08.42-PM-e1695751772791.png,3,4,3,2,2,3,5,3,3,3,5,Sporting Dogs,4
Kuvasz,https://dogtime.com/dog-breeds/kuvasz,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1448544277-e1694629203459.jpg?w=1024,3,1,1,1,2,4,4,5,2,3,4,Working Dogs,3
Kyi-Leo,https://dogtime.com/dog-breeds/kyi-leo,https://dogtime.com/wp-content/uploads/sites/12/2019/07/kyi-leo-mixed-dog-breed-pictures-cover.jpg,4,5,4,4,4,2,3,2,3,4,3,Mixed Breed Dogs,4
Lab Pointer,https://dogtime.com/dog-breeds/lab-pointer,https://dogtime.com/wp-content/uploads/sites/12/2019/09/lab-pointer-mixed-dog-breed-pictures-cover.jpg,3,1,4,1,4,2,4,4,4,2,4,Mixed Breed Dogs,4
Labernese,https://dogtime.com/dog-breeds/labernese,https://dogtime.com/wp-content/uploads/sites/12/2019/08/labernese-mixed-dog-breed-pictures-cover.jpg,3,2,4,1,4,4,2,4,3,2,4,Mixed Breed Dogs,2
Labmaraner,https://dogtime.com/dog-breeds/labmaraner,https://dogtime.com/wp-content/uploads/sites/12/2019/08/labmaraner-mixed-dog-breed-pictures-cover.jpg,3,1,4,1,4,1,4,4,4,3,4,Mixed Breed Dogs,3
Labrabull,https://dogtime.com/dog-breeds/labrabull,https://dogtime.com/wp-content/uploads/sites/12/2019/08/Labrabull-mixed-dog-breed-pictures-cover.jpg,3,2,2,1,4,5,3,4,4,3,5,Mixed Breed Dogs,4
Labradane,https://dogtime.com/dog-breeds/labradane,https://dogtime.com/wp-content/uploads/sites/12/2019/07/labradane-mixed-dog-breed-pictures-cover.jpg,3,1,2,2,4,2,4,5,3,1,4,Mixed Breed Dogs,3
Labradoodle,https://dogtime.com/dog-breeds/labradoodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1208092301-e1692490137729.jpg,4,3,4,4,5,3,4,4,3,2,5,Hybrid Dogs,4
Labrador Retriever,https://dogtime.com/dog-breeds/labrador-retriever,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-590608307-e1706029609404.jpg?w=1024,3,1,3,2,5,5,3,4,4,4,5,Sporting Dogs,3
