breed,Images,url,Adaptability,ToleranceAlone,Friendliness,Health,Intelligence,ExerciseNeeds,TemperatureTolerance,ApartmentSuitability,Size,breed_group,AgeAverage
Chipin,https://dogtime.com/wp-content/uploads/sites/12/2019/07/chipin-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chipin,3,1,3,3,3,4,1.5,3,1,Mixed Breed Dogs,12
Chiweenie,https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-1500430783-e1692662779466.jpg?w=1024,https://dogtime.com/dog-breeds/chiweenie,3,2,3,3,4,4,2.5,2,1,Mixed Breed Dogs,14
Chorkie,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chorkie-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chorkie,3,1,3,3,3,4,1.5,2,1,Mixed Breed Dogs,13.5
Chow Chow,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-91735840-e1691246757938.jpg?w=1024,https://dogtime.com/dog-breeds/chow-chow,3,5,1,2,1,2,3.5,1,4,Working Dogs,13.5
Chow Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chow-shepherd-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chow-shepherd,3,2,3,3,3,5,4.5,1,4,Mixed Breed Dogs,13.5
Chug,https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-490935941-e1695663470138.jpg?w=1024,https://dogtime.com/dog-breeds/chug,3,3,4,4,3,4,2.5,3,1,Mixed Breed Dogs,11.5
Chusky,https://dogtime.com/wp-content/uploads/sites/12/2019/08/chusky-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chusky,3,3,4,3,4,4,3.5,1,3,Mixed Breed Dogs,11.5
Cirneco dell’Etna,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-873593792-e1694477734169.jpg?w=1024,https://dogtime.com/dog-breeds/cirneco-delletna,3,3,4,5,3,3,3,2,3,Companion Dogs,13
Clumber Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-96823791-e1698679241418.jpg,https://dogtime.com/dog-breeds/clumber-spaniel,4,2,4,2,3,3,3.5,3,3,Sporting Dogs,12
Cockalier,https://dogtime.com/wp-content/uploads/sites/12/2019/10/cockalier-mixed-dog-breed-picture-cover.jpg,https://dogtime.com/dog-breeds/cockalier,3,2,4,4,4,4,2,3,2,Mixed Breed Dogs,13.5
Cockapoo,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1207034679-1.jpg?w=1024,https://dogtime.com/dog-breeds/cockapoo,4,3,5,2,4,4,4,3,2,Hybrid Dogs,13.5
Cocker Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-168362733-e1691522067206.jpg?w=1024,https://dogtime.com/dog-breeds/cocker-spaniel,4,1,4,4,4,3,3.5,2,2,Sporting Dogs,13.5
Collie,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-865592368-e1692904739165.jpg?w=1024,https://dogtime.com/dog-breeds/collie,4,2,5,3,4,3,3.5,1,3,Herding Dogs,12
Corgi Inu,https://dogtime.com/wp-content/uploads/sites/12/2019/08/corgi-inu-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/corgi-inu,3,3,3,3,4,4,3,2,2,Mixed Breed Dogs,13.5
Corgidor,https://dogtime.com/wp-content/uploads/sites/12/2019/07/corgidor-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/corgidor,3,3,4,4,5,4,3,1,3,Mixed Breed Dogs,12.5
Corman Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2019/11/GettyImages-1179001853-e1709836185255.jpg?w=1024,https://dogtime.com/dog-breeds/corman-shepherd,3,3,4,3,5,4,3.5,1,3,Mixed Breed Dogs,12.5
Coton de Tulear,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-490473024-e1699994891842.jpg,https://dogtime.com/dog-breeds/coton-de-tulear,4,1,5,5,4,3,3,3,1,Companion Dogs,21
Curly-Coated Retriever,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1204876364-e1698426594947.jpg?w=1024,https://dogtime.com/dog-breeds/curly-coated-retriever,3,3,4,2,5,4,4,1,3,Sporting Dogs,10.5
Dachsador,https://dogtime.com/wp-content/uploads/sites/12/2019/09/dachsador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/dachsador,3,2,4,4,4,4,3,3,2,Mixed Breed Dogs,13
Dachshund,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-700141990-e1688418771301.jpg,https://dogtime.com/dog-breeds/dachshund,3,3,3,2,4,3,2,2,1,Hound Dogs,13.5
Dalmatian,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-177292392-e1692667966241.jpg?w=1024,https://dogtime.com/dog-breeds/dalmatian,3,3,4,4,4,5,3.5,1,3,Companion Dogs,14.5
Dandie Dinmont Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-182665308-e1699630765162.jpg?w=1024,https://dogtime.com/dog-breeds/dandie-dinmont-terrier,3,2,4,3,3,3,3,3,1,Terrier Dogs,13.5
Daniff,https://dogtime.com/wp-content/uploads/sites/12/2019/11/daniff-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/daniff,3,1,4,3,4,4,3.5,1,5,Mixed Breed Dogs,10
Deutscher Wachtelhund,https://dogtime.com/wp-content/uploads/sites/12/2019/10/GettyImages-180794233-e1708197323228.jpg,https://dogtime.com/dog-breeds/deutscher-wachtelhund,3,2,4,5,4,4,3.5,1,4,Sporting Dogs,13
Doberdor,https://dogtime.com/wp-content/uploads/sites/12/2019/08/doberdor-mixed-breed-dog-pictures-cover.jpg,https://dogtime.com/dog-breeds/doberdor,2,2,3,4,4,5,3,1,5,Mixed Breed Dogs,12
Doberman Pinscher,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-474330006-e1691273994614.jpg?w=1024,https://dogtime.com/dog-breeds/doberman-pinscher,3,2,3,1,5,4,2.5,1,4,Working Dogs,11.5
Docker,https://dogtime.com/wp-content/uploads/sites/12/2019/07/docker-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/docker,3,2,3,3,4,3,3,1,2,Mixed Breed Dogs,13
Dogo Argentino,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1189927950-e1695058009178.jpg?w=1024,https://dogtime.com/dog-breeds/dogo-argentino,2,2,3,3,3,4,3,1,4,Sporting Dogs,12
Dogue de Bordeaux,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-870835468-e1688165931787.jpg?w=1024,https://dogtime.com/dog-breeds/dogue-de-bordeaux,3,2,3,2,3,3,2.5,3,4,Working Dogs,10
Dorgi,https://dogtime.com/wp-content/uploads/sites/12/2019/08/dorgi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/dorgi,3,1,4,4,4,4,3.5,2,2,Mixed Breed Dogs,13.5
Dorkie,https://dogtime.com/wp-content/uploads/sites/12/2020/01/5818864337_54aff6a807_k-e1711057877276.jpg,https://dogtime.com/dog-breeds/dorkie,3,2,4,2,4,2,2,3,1,Mixed Breed Dogs,14.5
Doxiepoo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/doxiepoo-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/doxiepoo,3,2,3,4,5,4,3,2,2,Mixed Breed Dogs,12.5
Doxle,https://dogtime.com/wp-content/uploads/sites/12/2024/02/GettyImages-1296253583-e1708025763898.jpg?w=1024,https://dogtime.com/dog-breeds/doxle,3,1,5,4,4,5,3,1,3,Mixed Breed Dogs,13
Drentsche Patrijshond,https://dogtime.com/wp-content/uploads/sites/12/2024/03/GettyImages-488979219-e1710430789588.jpg?w=1024,https://dogtime.com/dog-breeds/drentsche-patrijshond,3,3,4,4,4,4,3.5,1,3,Working Dogs,12.5
Drever,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1161618692-e1695350939289.jpg?w=1024,https://dogtime.com/dog-breeds/drever,3,2,4,5,4,4,2.5,2,3,Hound Dogs,13.5
Dutch Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1200407537-1-e1697827592829.jpg?w=1024,https://dogtime.com/dog-breeds/dutch-shepherd,3,2,4,4,4,4,4,1,3,Herding Dogs,13.5
English Cocker Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-672429448-1-e1691168259563.jpg?w=1024,https://dogtime.com/dog-breeds/english-cocker-spaniel,4,1,5,4,5,4,3.5,2,2,Sporting Dogs,13
English Foxhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-175419423-e1693750736808.jpg,https://dogtime.com/dog-breeds/english-foxhound,3,4,4,4,3,5,3,1,3,Hound Dogs,11.5
English Setter,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1186378289-e1691459172268.jpg?w=1024,https://dogtime.com/dog-breeds/english-setter,3,1,5,3,5,4,3.5,1,3,Sporting Dogs,13
English Springer Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1187748676-e1693582587759.jpg,https://dogtime.com/dog-breeds/english-springer-spaniel,3,1,5,3,5,5,3.5,1,3,Sporting Dogs,12
English Toy Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_23106_english-toy-spaniel.jpg,https://dogtime.com/dog-breeds/english-toy-spaniel,3,1,4,2,3,3,2,2,2,Companion Dogs,11
Entlebucher Mountain Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1446374246-e1695303266393.jpg?w=1024,https://dogtime.com/dog-breeds/entlebucher-mountain-dog,3,3,4,3,4,5,3,1,3,Herding Dogs,11.5
Estrela Mountain Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1256997194-e1691757468416.jpg?w=1024,https://dogtime.com/dog-breeds/estrela-mountain-dog,3,3,4,4,5,3,3.5,1,4,Herding Dogs,13
Eurasier,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-506910133-e1691284962938.jpg?w=1024,https://dogtime.com/dog-breeds/eurasier,3,1,4,4,4,3,3.5,3,4,Companion Dogs,13
Field Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-993615914-1-e1691887233572.jpg?w=1024,https://dogtime.com/dog-breeds/field-spaniel,3,1,5,3,5,5,3.5,1,2,Sporting Dogs,11
Finnish Lapphund,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1064585256-e1693319513940.jpg,https://dogtime.com/dog-breeds/finnish-lapphund,4,2,5,4,5,5,3.5,2,3,Herding Dogs,13.5
Finnish Spitz,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-490054960-1-e1691172054332.jpg?w=1024,https://dogtime.com/dog-breeds/finnish-spitz,3,1,5,4,4,5,4,1,3,Sporting Dogs,13.5
Flat-Coated Retriever,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1437669412-e1698601773598.jpg?w=1024,https://dogtime.com/dog-breeds/flat-coated-retriever,3,1,5,4,5,5,4,1,3,Sporting Dogs,11
Fox Terrier,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-828399432-e1705075052179.jpg?w=1024,https://dogtime.com/dog-breeds/fox-terrier,3,3,4,4,5,5,3.5,1,2,Terrier Dogs,12.5
French Bulldog,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-821730372-e1705934561973.jpg?w=1024,https://dogtime.com/dog-breeds/french-bulldog,3,1,4,2,3,4,1.5,2,2,Companion Dogs,12.5
French Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1186335905-e1696010191914.jpg?w=1024,https://dogtime.com/dog-breeds/french-spaniel,3,3,4,4,4,4,3,1,3,Sporting Dogs,11
Frenchton,https://dogtime.com/wp-content/uploads/sites/12/2020/01/frenchton-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/frenchton,4,2,5,4,4,4,3,2,2,Mixed Breed Dogs,13.5
Frengle,https://dogtime.com/wp-content/uploads/sites/12/2020/02/frengle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/frengle,3,3,5,4,4,4,2,3,3,Mixed Breed Dogs,12.5
German Pinscher,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1241525012-1-e1696424722713.jpg?w=1024,https://dogtime.com/dog-breeds/german-pinscher,3,3,3,4,5,5,3.5,1,3,Working Dogs,13
German Shepherd Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-529202089-e1701095552546.jpg?w=1024,https://dogtime.com/dog-breeds/german-shepherd-dog,3,2,4,4,5,5,3.5,1,4,Herding Dogs,12
German Shepherd Pit Bull,https://dogtime.com/wp-content/uploads/sites/12/2020/02/german-shepherd-pit-bull-mixed-dog-breed-pictures-COVER.jpg,https://dogtime.com/dog-breeds/german-shepherd-pit-bull,2,1,5,4,5,5,3,1,4,Mixed Breed Dogs,11
German Sheprador,https://dogtime.com/wp-content/uploads/sites/12/2019/09/german-sheprador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/german-sheprador,3,2,5,3,5,5,4,1,4,Mixed Breed Dogs,11
German Shorthaired Pointer,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1287712832-e1692459746136.jpg?w=1024,https://dogtime.com/dog-breeds/german-shorthaired-pointer,2,1,4,3,5,5,3,1,3,Sporting Dogs,13.5
German Spitz,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1145716084-e1695412569891.jpg?w=1024,https://dogtime.com/dog-breeds/german-spitz,3,3,4,4,4,4,2.5,2,1,Companion Dogs,14
German Wirehaired Pointer,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1370794115-e1693316668360.jpg?w=1024,https://dogtime.com/dog-breeds/german-wirehaired-pointer,3,2,3,4,5,5,3.5,1,4,Sporting Dogs,13
Giant Schnauzer,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-153483247.jpg,https://dogtime.com/dog-breeds/giant-schnauzer,2,2,3,4,4,4,3,1,4,Working Dogs,11
Glen of Imaal Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-154451984-e1693662214622.jpg?w=1024,https://dogtime.com/dog-breeds/glen-of-imaal-terrier,3,3,4,5,4,4,3.5,2,1,Terrier Dogs,13.5
Goberian,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1321083270-e1696256621612.jpg?w=1024,https://dogtime.com/dog-breeds/goberian,3,2,4,4,5,5,3.5,1,4,Mixed Breed Dogs,12.5
Goldador,https://dogtime.com/wp-content/uploads/sites/12/2024/03/GettyImages-1360847842-e1709654744507.jpg?w=1024,https://dogtime.com/dog-breeds/goldador,4,4,5,4,5,5,4.5,1,4,Hybrid Dogs,12.5
Golden Cocker Retriever,https://dogtime.com/wp-content/uploads/sites/12/2019/10/golden-cocker-retriever-mixed-dog-breed-pictures-cover-1.jpg,https://dogtime.com/dog-breeds/golden-cocker-retriever,3,1,4,4,4,4,3,1,3,Mixed Breed Dogs,13.5
Golden Mountain Dog,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1000435950-e1705593968178.jpg?w=1024,https://dogtime.com/dog-breeds/golden-mountain-dog,2,2,4,3,4,4,3,1,5,Mixed Breed Dogs,12
Golden Retriever,https://dogtime.com/wp-content/uploads/sites/12/2024/03/GettyImages-1285465107-e1710251441662.jpg?w=1024,https://dogtime.com/dog-breeds/golden-retriever,3,1,5,2,5,4,3,1,3,Sporting Dogs,11
Golden Retriever Corgi,https://dogtime.com/wp-content/uploads/sites/12/2020/01/golden-retriever-corgi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/golden-retriever-corgi,3,3,5,3,4,4,3,1,3,Mixed Breed Dogs,11.5
Golden Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-18-at-1.14.53-PM.png,https://dogtime.com/dog-breeds/golden-shepherd,3,1,5,3,5,5,4.5,1,5,Mixed Breed Dogs,12
Goldendoodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-142805141-e1689614063230.jpg?w=1024,https://dogtime.com/dog-breeds/goldendoodle,3,3,5,3,5,4,3,1,4,Hybrid Dogs,12.5
Gollie,https://dogtime.com/wp-content/uploads/sites/12/2019/09/gollie-mixed-dog-breed-pictures-1-1.jpg,https://dogtime.com/dog-breeds/gollie,3,2,5,3,4,4,3,1,3,Mixed Breed Dogs,13.5
Gordon Setter,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1297799155-e1694182101120.jpg?w=1024,https://dogtime.com/dog-breeds/gordon-setter,3,1,3,4,5,4,3.5,1,3,Sporting Dogs,11
Great Dane,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1372212075-e1705674944967.jpg?w=1024,https://dogtime.com/dog-breeds/great-dane,2,1,5,4,3,5,2.5,1,5,Working Dogs,8.5
Great Pyrenees,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1392624178-e1699369134229.jpg?w=1024,https://dogtime.com/dog-breeds/great-pyrenees,3,3,4,2,4,5,4,1,5,Working Dogs,11
Greater Swiss Mountain Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-481853236-e1696252573739.jpg?w=1024,https://dogtime.com/dog-breeds/greater-swiss-mountain-dog,3,3,5,2,3,4,3,1,5,Working Dogs,8
Greyador,https://dogtime.com/wp-content/uploads/sites/12/2020/02/greyador-mixed-dog-breed-pictures-COVER.jpg,https://dogtime.com/dog-breeds/greyador,3,1,5,4,5,4,2,1,4,Mixed Breed Dogs,12
Greyhound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1307444886-e1689603365467.jpg?w=1024,https://dogtime.com/dog-breeds/greyhound,3,1,5,4,5,4,3,3,4,Hound Dogs,13.5
Hamiltonstovare,https://dogtime.com/wp-content/uploads/sites/12/2019/12/Hamiltonstovare-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/hamiltonstovare,3,3,4,4,4,4,3,1,3,Hound Dogs,15.5
Hanoverian Scenthound,https://dogtime.com/wp-content/uploads/sites/12/2019/11/Hanoverian-Scenthound-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/hanoverian-scenthound,3,3,4,4,4,4,3,1,4,Working Dogs,13
Harrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-478594617-e1708826665721.jpg?w=1024,https://dogtime.com/dog-breeds/harrier,3,3,5,5,4,5,3.5,1,3,Hound Dogs,11
Havanese,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1188952756-e1693150813872.jpg?w=1024,https://dogtime.com/dog-breeds/havanese,4,1,5,3,4,3,3.5,3,2,Companion Dogs,13.5
Hokkaido,https://dogtime.com/wp-content/uploads/sites/12/2023/10/Screen-Shot-2023-10-06-at-10.25.31-AM-1-e1696602900421.png,https://dogtime.com/dog-breeds/hokkaido,3,3,4,5,4,3,3.5,1,3,Working Dogs,12
Horgi,https://dogtime.com/wp-content/uploads/sites/12/2019/08/horgi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/horgi,3,2,5,3,4,4,3.5,1,2,Mixed Breed Dogs,13.5
Huskita,https://dogtime.com/wp-content/uploads/sites/12/2019/12/Huskita-Collage-e1710445440763.jpg,https://dogtime.com/dog-breeds/huskita,3,1,3,4,3,5,4,1,4,Mixed Breed Dogs,11.5
Huskydoodle,"https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-980012224.jpg?resize=2048,1357",https://dogtime.com/dog-breeds/huskydoodle,3,2,4,4,5,5,3.5,1,3,Mixed Breed Dogs,12
Ibizan Hound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-524728700-e1694569218246.jpg?w=1024,https://dogtime.com/dog-breeds/ibizan-hound,3,2,5,4,4,5,2.5,3,3,Hound Dogs,12
Icelandic Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1249910553-2.jpg,https://dogtime.com/dog-breeds/icelandic-sheepdog,3,2,3,3,4,4,4,1,3,Herding Dogs,14.5
Irish Red and White Setter,https://dogtime.com/wp-content/uploads/sites/12/2023/07/Screen-Shot-2023-07-11-at-10.56.38-AM-e1692452682474.png,https://dogtime.com/dog-breeds/irish-red-and-white-setter,3,1,4,2,4,5,3.5,1,3,Sporting Dogs,12
Irish Setter,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-986376406-e1692813099422.jpg?w=1024,https://dogtime.com/dog-breeds/irish-setter,3,2,5,2,5,5,3.5,1,4,Sporting Dogs,13
Irish Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1075596616-e1694717947452.jpg?w=1024,https://dogtime.com/dog-breeds/irish-terrier,3,2,4,5,4,5,4,1,3,Terrier Dogs,14
Irish Water Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/14770260620_a14323c80b_h-e1696226376292.jpg,https://dogtime.com/dog-breeds/irish-water-spaniel,3,3,5,2,4,4,4,1,3,Sporting Dogs,11
Irish Wolfhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-802294198-e1694543128527.jpg?w=1024,https://dogtime.com/dog-breeds/irish-wolfhound,2,2,5,1,4,3,3,1,5,Hound Dogs,7
Italian Greyhound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1173875200-e1692375001305.jpg?w=1024,https://dogtime.com/dog-breeds/italian-greyhound,3,1,5,3,3,4,2,2,2,Companion Dogs,14.5
Jack-A-Poo,https://dogtime.com/wp-content/uploads/sites/12/2020/02/jack-a-poo-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/jack-a-poo,4,2,5,3,5,5,4,2,2,Mixed Breed Dogs,13.5
Jack Chi,https://dogtime.com/wp-content/uploads/sites/12/2019/07/jack-chi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/jack-chi,3,3,4,4,4,4,3,3,2,Mixed Breed Dogs,15.5
Jack Russell Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1165035381-e1691077727532.jpg?w=1024,https://dogtime.com/dog-breeds/jack-russell-terrier,3,3,5,4,5,5,3.5,1,2,Terrier Dogs,12.5
Japanese Chin,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-987920506-e1700238374981.jpg?w=1024,https://dogtime.com/dog-breeds/japanese-chin,3,1,3,3,3,2,2.5,2,1,Companion Dogs,12
Japanese Spitz,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1489388446-e1698507707274.jpg?w=1024,https://dogtime.com/dog-breeds/japanese-spitz,3,2,4,3,4,3,3.5,2,2,Companion Dogs,13
Korean Jindo Dog,https://dogtime.com/wp-content/uploads/sites/12/2018/10/GettyImages-154265953-e1695054866660.jpg?w=1024,https://dogtime.com/dog-breeds/jindo,3,2,4,4,5,4,3.5,1,3,Sporting Dogs,13.5
Karelian Bear Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/08/Screen-Shot-2023-08-19-at-10.09.56-AM-e1692454226742.png,https://dogtime.com/dog-breeds/karelian-bear-dog,3,2,3,4,4,4,4,1,3,Working Dogs,11.5
Keeshond,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-954286436-e1695823345532.jpg?w=1024,https://dogtime.com/dog-breeds/keeshond,4,1,5,3,4,4,4,2,3,Companion Dogs,13.5
Kerry Blue Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1297190480-e1709252365876.jpg?w=1024,https://dogtime.com/dog-breeds/kerry-blue-terrier,3,3,4,3,4,4,3.5,1,3,Terrier Dogs,13.5
Komondor,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1250679406-e1692462057758.jpg,https://dogtime.com/dog-breeds/komondor,3,1,3,2,4,3,3.5,1,4,Working Dogs,11
Kooikerhondje,https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-26-at-2.08.42-PM-e1695751772791.png,https://dogtime.com/dog-breeds/kooikerhondje,3,2,2,5,4,5,3.5,2,3,Sporting Dogs,13
Kuvasz,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1448544277-e1694629203459.jpg?w=1024,https://dogtime.com/dog-breeds/kuvasz,3,1,2,4,4,4,3.5,1,5,Working Dogs,11
Kyi-Leo,https://dogtime.com/wp-content/uploads/sites/12/2019/07/kyi-leo-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/kyi-leo,4,4,4,3,3,3,3.5,2,2,Mixed Breed Dogs,14
Lab Pointer,https://dogtime.com/wp-content/uploads/sites/12/2019/09/lab-pointer-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/lab-pointer,3,1,4,4,4,4,4,1,4,Mixed Breed Dogs,12.5
Labernese,https://dogtime.com/wp-content/uploads/sites/12/2019/08/labernese-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/labernese,3,1,4,2,4,4,3,1,4,Mixed Breed Dogs,9
Labmaraner,https://dogtime.com/wp-content/uploads/sites/12/2019/08/labmaraner-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/labmaraner,3,1,4,4,4,4,3,1,4,Mixed Breed Dogs,11
Labrabull,https://dogtime.com/wp-content/uploads/sites/12/2019/08/Labrabull-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/labrabull,3,1,4,3,5,5,3,1,4,Mixed Breed Dogs,12
Labradane,https://dogtime.com/wp-content/uploads/sites/12/2019/07/labradane-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/labradane,3,2,4,4,4,4,4,1,5,Mixed Breed Dogs,10
Labradoodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1208092301-e1692490137729.jpg,https://dogtime.com/dog-breeds/labradoodle,4,4,5,4,4,5,4.5,1,4,Hybrid Dogs,13
Labrador Retriever,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-590608307-e1706029609404.jpg?w=1024,https://dogtime.com/dog-breeds/labrador-retriever,3,2,5,3,5,5,3,1,4,Sporting Dogs,11
Labrastaff,https://dogtime.com/wp-content/uploads/sites/12/2019/09/labrastaff-mixed-dog-breed-picture-cover.jpg,https://dogtime.com/dog-breeds/labrastaff,3,1,4,4,4,4,3,1,4,Mixed Breed Dogs,12
Labsky,https://dogtime.com/wp-content/uploads/sites/12/2019/07/labsky-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/labsky,2,2,4,3,5,5,3,1,4,Mixed Breed Dogs,11
Lagotto Romagnolo,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1211722924-2-e1697045871165.jpg?w=1024,https://dogtime.com/dog-breeds/lagotto-romagnolo,3,3,3,4,4,4,3.5,1,2,Sporting Dogs,15.5
Lakeland Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1316778991-e1694448033355.jpg,https://dogtime.com/dog-breeds/lakeland-terrier,3,2,4,5,4,4,4,3,2,Terrier Dogs,13.5
Lancashire Heeler,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1432487561-e1694451218118.jpg?w=1024,https://dogtime.com/dog-breeds/lancashire-heeler,3,3,3,4,4,4,3,1,1,Herding Dogs,11.5
